info_type_id,movie_id,info,title,production_year
3,3266172,Western,"Alice und die Wildwest-Banditen",1928
3,3327316,Western,"The Honest Thief",1944
3,3360397,Western,"The Sheriff of Wampus County",1920
3,3307270,Western,"Gun Point",1955
3,3352073,Western,"Bill Sharkey's Revenge",1909
3,3205892,Western,"15 horcas para un asesino",1967
3,3212595,Western,"Trois pistolets contre CÃ©sar",1966
3,3294171,Western,"Aufstand in Arizona",1991
3,3211275,Western,"24 snega",2016
3,3204280,Western,"$1,000 on the Black",1966
3,3230341,Western,"La signorina e il cow-boy",1947
3,3264313,Western,"Silver City",1948
3,3352012,Western,"Django, le taciturne",1967
3,3319160,Western,"James Oliver Curwood's Back to God's Country",1953
3,3275670,Western,L'imboscata,1950
3,3217228,Western,"Seven Faces of Dr. Lao",1964
3,3157897,Western,"Mavericks groÃŸes Spiel",1994
3,3277399,Western,"American Outlaws",2001
3,3225971,Western,"High Lonesome - Gerechtikeit ist nicht genug",2016
3,3313758,Western,"Die letzte Kugel traf den Besten",1965
3,3279332,Western,Gunfire,1978
3,3300305,Western,"GalgenvÃ¶gel sterben einsam",1971
3,3352668,Western,"Billy the Kid's Last Raid",1941
3,3358601,Western,"Lo sperone nero",1965
3,3349445,Western,"Big city - Dove i bambini fanno la legge",2008
3,3214177,Western,"I quattro del Texas",2006
3,3204280,Western,"Sartana: Sangue e la penna",1969
3,3352664,Western,"Billy the Kid lebt",2007
3,3183639,Western,"Zorro - Der schwarze RÃ¤cher",1990
3,3320225,Western,"Das Schaf im Wolfspelz",1951
3,3324321,Western,"Balada o revolverasu",1967
3,3300492,Western,"Sartana If Your Left Arm Offends, Cut It Off",1970
3,3212234,Western,"3 Bullets for Ringo",1966
3,3250383,Western,"A Man of Peace",1919
3,3266744,Western,"Dan Candy's Law",1977
3,3298941,Western,"Arizona Gun Busters",1953
3,3313758,Western,"Sette ore di fuoco",1965
3,3355179,Western,"Bite the Bullet",1975
3,3294184,Western,Ã¡ÃÃÃžÃ‰,1973
3,3326972,Western,"The New Cook",1911
